epoch,train_loss,eval_loss,eval_auc,eval_accuracy,eval_precision,eval_recall,eval_f1
1,2.340736,0.662153,0.7,0.5625,0.0,0.0,0.0
2,2.735852,0.688355,0.7166666666666667,0.625,0.0,0.0,0.0
3,2.965197,0.748039,0.7666666666666666,0.625,0.0,0.0,0.0
4,2.099026,0.874388,0.7833333333333333,0.625,0.0,0.0,0.0
5,3.025847,0.899717,0.7833333333333333,0.625,0.0,0.0,0.0
6,2.821552,0.871993,0.8333333333333334,0.625,0.0,0.0,0.0
7,2.744375,0.796817,0.8333333333333334,0.625,0.0,0.0,0.0
8,2.504947,0.702322,0.85,0.625,0.0,0.0,0.0
9,2.907541,0.635007,0.85,0.6875,1.0,0.16666666666666666,0.2857142857142857
10,3.014489,0.600257,0.85,0.75,0.75,0.5,0.6
11,1.789675,0.608752,0.85,0.6875,0.6,0.5,0.5454545454545454
12,1.584825,0.646078,0.85,0.625,0.5,0.5,0.5
13,2.093734,0.685856,0.85,0.625,0.5,0.5,0.5
14,1.790977,0.728398,0.85,0.375,0.375,1.0,0.5454545454545454
15,1.724837,0.765026,0.85,0.375,0.375,1.0,0.5454545454545454
16,1.778031,0.757658,0.85,0.375,0.375,1.0,0.5454545454545454
17,1.766079,0.724404,0.85,0.4375,0.4,1.0,0.5714285714285714
18,1.404696,0.687328,0.85,0.625,0.5,0.5,0.5
19,1.671237,0.653221,0.85,0.625,0.5,0.5,0.5
20,1.870887,0.620199,0.85,0.625,0.5,0.5,0.5
